data_location,mean_data_value
-126.0,0.022284334938259473
-123.0,0.024642524090268906
-120.0,0.0276391045822279
-117.0,0.03178061229569945
-114.0,0.03787353404736169
-111.0,0.04770442926861223
-108.0,0.07230531676001441
-105.0,0.16766475287412794
-102.0,0.5440890413022829
-99.0,0.9278272676951295
-96.0,0.9962811575120369
-93.0,1.0118057908355442
-90.0,1.0172673839703907
-87.0,1.0204926009629556
-84.0,1.023001441158167
-81.0,1.0232704267793389
-78.0,1.0237557891978646
-75.0,1.0257430349480854
-72.0,1.0241382529232583
-69.0,1.0217053552127346
-66.0,1.020298254233402
-63.0,1.0187928924699488
-60.0,1.0167068061969802
-57.0,1.0149991254790212
-54.0,1.012369126461629
-51.0,1.011459126789165
-48.0,1.0100520258098324
-45.0,1.0077636205823588
-42.0,1.0057453604533098
-39.0,1.0047347810422194
-36.0,1.003887969604664
-33.0,1.0027294192787657
-30.0,1.0025955062068062
-27.0,1.0036885493432903
-24.0,1.0014053617634535
-21.0,1.0010688401952115
-18.0,1.0013085503258983
-15.0,1.000775506861878
-12.0,0.9980804352952738
-9.0,0.9985236235301823
-6.0,0.9991581160132325
0.0,1.0
6.0,0.9994711594772526
9.0,0.9994453624185254
12.0,0.9984915944449902
15.0,1.0004775359470701
18.0,1.0023791294094526
21.0,1.0020486947692508
24.0,1.0025305787560184
27.0,1.0019165209131702
30.0,1.001931738233271
33.0,1.0027621728734728
36.0,1.0029592741803415
39.0,1.0032230421538764
42.0,1.0050617372506634
45.0,1.005047679407815
48.0,1.0074817365955913
51.0,1.0080455045691263
54.0,1.0116737643706397
57.0,1.0128036192722152
60.0,1.013859850643608
63.0,1.015612023844617
66.0,1.017502748026596
69.0,1.018579994104353
72.0,1.020304051619665
75.0,1.02134622514821
78.0,1.0243621663227538
81.0,1.0217404277619468
84.0,1.0200807179587958
87.0,1.0181402836461304
90.0,1.0147015885493433
93.0,1.0057217352854473
96.0,0.9801386980446104
99.0,0.8819288706560545
102.0,0.43584645180308534
105.0,0.12147298778290917
108.0,0.06246611460482787
111.0,0.04542325875339818
114.0,0.03750061403163998
117.0,0.03193622698241132
120.0,0.02777629465133798
123.0,0.024599786806852052
126.0,0.02190615711899381
